season,team1,team2,date,winner,Venue
2015,New Zealand,South Africa,2015/03/24,New Zealand,"Eden Park, Auckland"
2015,Australia,India,2015/03/26,Australia,"Sydney Cricket Ground, Sydney"
2015,Australia,New Zealand,2015/03/29,Australia,"Melbourne Cricket Ground, Melbourne"
2015,Bangladesh,Pakistan,2015/04/17,Bangladesh,"Mirpur Stadium, Mirpur"
2015,Bangladesh,Pakistan,2015/04/19,Bangladesh,"Mirpur Stadium, Mirpur"
2015,Bangladesh,Pakistan,2015/04/22,Bangladesh,"Mirpur Stadium, Mirpur"
2015,England,New Zealand,2015/06/09,England,"Edgbaston, Birmingham"
2015,England,New Zealand,2015/06/12,New Zealand,"The Oval, Surrey"
2015,England,New Zealand,2015/06/14,New Zealand,"County Ground, Southampton"
2015,England,New Zealand,2015/06/17,England,"Trent Bridge, Nottingham"
2015,Bangladesh,India,2015/06/18,Bangladesh,"Mirpur Stadium, Mirpur"
2015,England,New Zealand,2015/06/20,England,"Riverside Ground, Chester-le-Street"
2015,Bangladesh,India,2015/06/21,Bangladesh,"Mirpur Stadium, Mirpur"
2015,Bangladesh,India,2015/06/24,India,"Mirpur Stadium, Mirpur"
2015,Bangladesh,South Africa,2015/07/10,South Africa,"Mirpur Stadium, Mirpur"
2015,Sri Lanka,Pakistan,2015/07/11,Pakistan,Dambulla
2015,Bangladesh,South Africa,2015/07/12,Bangladesh,"Mirpur Stadium, Mirpur"
2015,Bangladesh,South Africa,2015/07/15,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2015,Sri Lanka,Pakistan,2015/07/15,Sri Lanka,"Pallekele International Cricket Stadium, Pallekele"
2015,Sri Lanka,Pakistan,2015/07/19,Pakistan,"R.Premadasa Stadium, Colombo"
2015,Sri Lanka,Pakistan,2015/07/22,Pakistan,"R.Premadasa Stadium, Colombo"
2015,Sri Lanka,Pakistan,2015/07/26,Sri Lanka,"Mahinda Rajapaksa International Stadium, Hambantota"
2015,South Africa,New Zealand,2015/08/19,South Africa,"SuperSport Park, Centurion"
2015,South Africa,New Zealand,2015/08/23,New Zealand,"Senwes Park, Potchefstroom"
2015,South Africa,New Zealand,2015/08/26,South Africa,"Kingsmead, Durban"
2015,England,Australia,2015/09/03,Australia,"County Ground, Southampton"
2015,England,Australia,2015/09/05,Australia,"Lord's, London"
2015,England,Australia,2015/09/08,England,"Emirates Old Trafford, Manchester"
2015,England,Australia,2015/09/11,England,"Headingley, Leeds"
2015,England,Australia,2015/09/13,Australia,"Emirates Old Trafford, Manchester"
2015,India,South Africa,2015/10/11,South Africa,Kanpur
2015,India,South Africa,2015/10/14,India,"Indore Stadium, Indore"
2015,India,South Africa,2015/10/18,South Africa,"Saurashtra Cricket Association Stadium, Rajkot"
2015,India,South Africa,2015/10/22,India,"MA Chidambaram Stadium, Chennai"
2015,India,South Africa,2015/10/25,South Africa,"Wankhede Stadium, Mumbai"
2015,England,Pakistan,2015/11/11,Pakistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi"
2015,England,Pakistan,2015/11/13,England,"Sheikh Zayed Cricket Stadium, Abu Dhabi"
2015,England,Pakistan,2015/11/17,England,"Sharjah Cricket Stadium, Sharjah"
2015,England,Pakistan,2015/11/20,England,"DSC, Dubai"
2015,New Zealand,Sri Lanka,2015/12/26,New Zealand,"Hagley Oval, Christchurch"
2015,New Zealand,Sri Lanka,2015/12/28,New Zealand,"Hagley Oval, Christchurch"
2015,New Zealand,Sri Lanka,2015/12/31,Sri Lanka,"Saxton Oval, Nelson"
2016,New Zealand,Sri Lanka,2016/01/02,no result,"Saxton Oval, Nelson"
2016,New Zealand,Sri Lanka,2016/01/05,New Zealand,"Bay Oval, Mount Maunganui"
2016,Australia,India,2016/01/12,Australia,"W.A.C.A. Ground, Perth"
2016,Australia,India,2016/01/15,Australia,"The Gabba, Brisbane"
2016,Australia,India,2016/01/17,Australia,"Melbourne Cricket Ground, Melbourne"
2016,Australia,India,2016/01/20,Australia,"Manuka Oval, Canberra"
2016,Australia,India,2016/01/23,India,"Sydney Cricket Ground, Sydney"
2016,New Zealand,Pakistan,2016/01/25,New Zealand,"Sky Stadium, Wellington"
2016,New Zealand,Pakistan,2016/01/31,New Zealand,"Eden Park, Auckland"
2016,New Zealand,Australia,2016/02/03,New Zealand,"Eden Park, Auckland"
2016,South Africa,England,2016/02/03,England,"Mangaung Oval, Bloemfontein"
2016,New Zealand,Australia,2016/02/06,Australia,"Sky Stadium, Wellington"
2016,South Africa,England,2016/02/06,England,"St George's Park, Gqeberha"
2016,New Zealand,Australia,2016/02/08,New Zealand,"Seddon Park, Hamilton"
2016,South Africa,England,2016/02/09,South Africa,"SuperSport Park, Centurion"
2016,South Africa,England,2016/02/12,South Africa,"The Wanderers Stadium, Johannesburg"
2016,South Africa,England,2016/02/14,South Africa,"Newlands, Cape Town"
2016,Australia,South Africa,2016/06/07,South Africa,"Providence Stadium, Providence"
2016,Australia,South Africa,2016/06/11,Australia,"Basseterre, Basseterre"
2016,Australia,South Africa,2016/06/19,no result,"Kensington Oval, Bridgetown"
2016,England,Sri Lanka,2016/06/21,tied,"Trent Bridge, Nottingham"
2016,England,Sri Lanka,2016/06/24,England,"Edgbaston, Birmingham"
2016,England,Sri Lanka,2016/06/26,no result,"County Ground, Bristol"
2016,England,Sri Lanka,2016/06/29,England,"The Oval, Surrey"
2016,England,Sri Lanka,2016/07/02,England,"Sophia Gardens, Cardiff"
2016,Sri Lanka,Australia,2016/08/21,Australia,"R.Premadasa Stadium, Colombo"
2016,Sri Lanka,Australia,2016/08/24,Sri Lanka,"R.Premadasa Stadium, Colombo"
2016,England,Pakistan,2016/08/24,England,"County Ground, Southampton"
2016,England,Pakistan,2016/08/27,England,"Lord's, London"
2016,Sri Lanka,Australia,2016/08/28,Australia,Dambulla
2016,England,Pakistan,2016/08/30,England,"Trent Bridge, Nottingham"
2016,Sri Lanka,Australia,2016/08/31,Australia,Dambulla
2016,England,Pakistan,2016/09/01,England,"Headingley, Leeds"
2016,Sri Lanka,Australia,2016/09/04,Australia,"Pallekele International Cricket Stadium, Pallekele"
2016,England,Pakistan,2016/09/04,Pakistan,"Sophia Gardens, Cardiff"
2016,Bangladesh,Afghanistan,2016/09/25,Bangladesh,"Mirpur Stadium, Mirpur"
2016,Bangladesh,Afghanistan,2016/09/28,Afghanistan,"Mirpur Stadium, Mirpur"
2016,South Africa,Australia,2016/09/30,South Africa,"SuperSport Park, Centurion"
2016,Bangladesh,Afghanistan,2016/10/01,Bangladesh,"Mirpur Stadium, Mirpur"
2016,South Africa,Australia,2016/10/02,South Africa,"The Wanderers Stadium, Johannesburg"
2016,South Africa,Australia,2016/10/05,South Africa,"Kingsmead, Durban"
2016,Bangladesh,England,2016/10/07,England,"Mirpur Stadium, Mirpur"
2016,South Africa,Australia,2016/10/09,South Africa,"St George's Park, Gqeberha"
2016,Bangladesh,England,2016/10/09,Bangladesh,"Mirpur Stadium, Mirpur"
2016,Bangladesh,England,2016/10/12,England,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2016,South Africa,Australia,2016/10/12,South Africa,"Newlands, Cape Town"
2016,India,New Zealand,2016/10/16,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2016,India,New Zealand,2016/10/20,New Zealand,"Arun Jaitley Stadium, Delhi"
2016,India,New Zealand,2016/10/23,India,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,India,New Zealand,2016/10/26,New Zealand,"JSCA International Stadium, Ranchi"
2016,India,New Zealand,2016/10/29,India,"ACA-VDCA, Visakhapatnam"
2016,Australia,New Zealand,2016/12/04,Australia,"Sydney Cricket Ground, Sydney"
2016,Australia,New Zealand,2016/12/06,Australia,"Manuka Oval, Canberra"
2016,Australia,New Zealand,2016/12/09,Australia,"Melbourne Cricket Ground, Melbourne"
2016,New Zealand,Bangladesh,2016/12/26,New Zealand,"Hagley Oval, Christchurch"
2016,New Zealand,Bangladesh,2016/12/29,New Zealand,"Saxton Oval, Nelson"
2016,New Zealand,Bangladesh,2016/12/31,New Zealand,"Saxton Oval, Nelson"
