team1,team2,winner,Venue,date,season
Australia,Ireland,Australia,"Willowmoore Park, Benoni",2016/09/27,2016
Bangladesh,Afghanistan,Afghanistan,"Mirpur Stadium, Mirpur",2016/09/28,2016
Pakistan,West Indies,Pakistan,"Sharjah Cricket Stadium, Sharjah",2016/09/30,2016
South Africa,Australia,South Africa,"SuperSport Park, Centurion",2016/09/30,2016
Bangladesh,Afghanistan,Bangladesh,"Mirpur Stadium, Mirpur",2016/10/01,2016
South Africa,Australia,South Africa,"The Wanderers Stadium, Johannesburg",2016/10/02,2016
Pakistan,West Indies,Pakistan,"Sharjah Cricket Stadium, Sharjah",2016/10/02,2016
Pakistan,West Indies,Pakistan,"Sheikh Zayed Cricket Stadium, Abu Dhabi",2016/10/05,2016
South Africa,Australia,South Africa,"Kingsmead, Durban",2016/10/05,2016
Bangladesh,England,England,"Mirpur Stadium, Mirpur",2016/10/07,2016
South Africa,Australia,South Africa,"St George's Park, Gqeberha",2016/10/09,2016
Bangladesh,England,Bangladesh,"Mirpur Stadium, Mirpur",2016/10/09,2016
Bangladesh,England,England,"Zahur Ahmed Chowdhury Stadium, Chattogram",2016/10/12,2016
South Africa,Australia,South Africa,"Newlands, Cape Town",2016/10/12,2016
India,New Zealand,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2016/10/16,2016
India,New Zealand,New Zealand,"Arun Jaitley Stadium, Delhi",2016/10/20,2016
India,New Zealand,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016/10/23,2016
India,New Zealand,New Zealand,"JSCA International Stadium, Ranchi",2016/10/26,2016
India,New Zealand,India,"ACA-VDCA, Visakhapatnam",2016/10/29,2016
Hong Kong,P.N.G.,Hong Kong,Mong Kok,2016/11/04,2016
Hong Kong,P.N.G.,P.N.G.,Mong Kok,2016/11/06,2016
Hong Kong,P.N.G.,Hong Kong,Mong Kok,2016/11/08,2016
Zimbabwe,Sri Lanka,Sri Lanka,"Harare Sports Club, Harare",2016/11/14,2016
Sri Lanka,West Indies,West Indies,"Harare Sports Club, Harare",2016/11/16,2016
Zimbabwe,West Indies,tied,"Queens Sports Club, Bulawayo",2016/11/19,2016
Zimbabwe,Sri Lanka,no result,"Queens Sports Club, Bulawayo",2016/11/21,2016
Sri Lanka,West Indies,Sri Lanka,"Queens Sports Club, Bulawayo",2016/11/23,2016
Zimbabwe,West Indies,Zimbabwe,"Queens Sports Club, Bulawayo",2016/11/25,2016
Zimbabwe,Sri Lanka,Sri Lanka,"Queens Sports Club, Bulawayo",2016/11/27,2016
Australia,New Zealand,Australia,"Sydney Cricket Ground, Sydney",2016/12/04,2016
Australia,New Zealand,Australia,"Manuka Oval, Canberra",2016/12/06,2016
Australia,New Zealand,Australia,"Melbourne Cricket Ground, Melbourne",2016/12/09,2016
New Zealand,Bangladesh,New Zealand,"Hagley Oval, Christchurch",2016/12/26,2016
New Zealand,Bangladesh,New Zealand,"Saxton Oval, Nelson",2016/12/29,2016
New Zealand,Bangladesh,New Zealand,"Saxton Oval, Nelson",2016/12/31,2016
